Unnamed: 0.1,Unnamed: 0,text,label
34366,34366,"Local Charlotte, NC news station WSOCTV is reporting that sources tell them dash cameras captured Keith Scott getting out of car and coming towards officers with a gun in his hand:#BREAKING: Sources tell Channel 9 dash camera video shows #KeithScott getting out car, coming toward officers with gun in his hand pic.twitter.com/GGuM2Ow3wk  WSOCTV (@wsoctv) September 21, 2016For a second night, protests over a deadly officer-involved shooting in Charlotte, North Carolina, turned violent, with police firing tear gas and demonstrators throwing objects and trying to damage vehicles.Keith Lamont Scott, a father of seven, was killed by police in an apartment complex parking lot Tuesday as officers looked for another man named in a warrant they were trying to serve. The shooting set off a long night of violent protests and Wednesday the demonstrations continued for a second night, starting off as a peaceful march through downtown Charlotte. But when the demonstrators neared an Omni Hotel, some people climbed the roof of an outdoor mall and started throwing objects at the crowd.Other people were banging on the doors of the hotel, and police in riot gear emerged in the entrance.His family said Scott, an African-American, was unarmed and sitting in his car reading a book, waiting for his son to come home from school.But Charlotte-Mecklenburg Police Chief Kerr Putney said Scott exited his car with a gun, not a book. He said officers couldn t find a book at the scene. It s time for the voiceless majority to stand up and be heard,  said the police chief, who is black. It s time to change the narrative because I can tell you from the facts that the story s a little bit different as to how it s been portrayed so far, especially through social media.   CNNBut b b but what about the book?Neighbor who says she saw police shoot #KeithScott disputes CMDP's claim that he was armed with a gun. She says he had a book. @wsoctv pic.twitter.com/X1PWw5QJ7O  Mark Barber (@MBarberWSOC9) September 21, 2016And of course, there s Hillary s irresponsible tweet confirming that the cops were in the wrong, without even having any facts to back up her ignorant statement:Keith Lamont Scott. Terence Crutcher. Too many others. This has got to end. -H  Hillary Clinton (@HillaryClinton) September 21, 2016 ",1
41656,41656,"The tsunami has started President Obama s Kenyan half-brother wants to make America great again   so he s voting for Donald Trump. I like Donald Trump because he speaks from the heart,  Malik Obama told The Post from his home in the rural village of Kogelo.  Make America Great Again is a great slogan. I would like to meet him. Obama, 58, a longtime Democrat, said his  deep disappointment  in his brother Barack s administration has led him to recently switch allegiance to  the party of Lincoln. The last straw, he said, came earlier this month when FBI Director James Comey recommended not prosecuting Democratic presidential candidate Hillary Clinton over her use of a private e-mail servers while secretary of state. She should have known better as the custodian of classified information,  said Obama.He s also annoyed that Clinton and President Obama killed Libyan leader Moammar Khadafy, whom he called one of his best friends.Malik Obama dedicated his 2012 biography of his late father to Khadafy and others who were  making this world a better place. I still feel that getting rid of Khadafy didn t make things any better in Libya,  he said.  My brother and the secretary of state disappointed me in that regard. But what bothers him even more is the Democratic Party s support of same-sex marriage.Obama plans to trek back to the US to vote for Trump in November. Obama used to live in Maryland, where he worked for many years as an accountant and is registered to vote there, public records show. Mr. Trump is providing something new and something fresh,  he said.For entire story: NYP",1
26726,26726,"The only reality show Donald Trump should have ever been featured in is The Biggest Loser because he just got his ass handed to him in court.Two years ago, Trump National Doral Miami golf resort signed a contract worth $200,000 for a local business called The Paint Spot to provide paint used to renovate the golf course.Well, guess who tried to stiff The Paint Spot of the final $34,863 payment in the deal?Yeah, that would be Republican nominee Donald J. Trump.Trump and his company refused to honor the contract by not paying the final payment, saying that they ve  paid enough  for the paint. In other words, Trump negotiated a deal that ended up costing him more in the end, just like the kinds of deals he wants to negotiate for America with the rest of the world.Anyway, Paint Spot owner Juan Carlos Enriquez filed suit against Trump in court, and Judge Jorge Cueto just slapped Trump and his company with a $300,000 hit to cover The Paint Shop s attorney and court fees, nearly ten times more money than the $34,863 owed. And Trump STILL hasn t paid that debt, so how are we supposed to trust him to pay down the debt of en entire nation if he can t meet his own obligations? I m happy I have a judgment,  Enriquez told the Miami Herald.  But he [Trump] hasn t paid yet. You know how he says he ll surround himself with the greatest people if he is president? In this case, he might not be surrounded by the right people. This isn t even the first fine Trump has been ordered to pay this month.On the same day as his coronation as the Republican Party nominee last week, the National Labor Relations Board slapped Trump with an $11,200 fine for treating employees like shit because they tried to join a labor union.As it turns out, one employee was wrongfully fired and the other was retaliated against by denying them the promotion they had earned.For someone who claims to be the  law and order  candidate, Trump sure does break the law a lot.Featured Image: Christopher Furlong/Getty Images",1
81585,81585,"No Food, No FEMA: Hurricane Michael’s Survivors Are Furious https://thebea.st/2CIXNoz ",0
4016,4016,"WASHINGTON (Reuters) - Here are some of the highlights of the Reuters interview with U.S. President Donald Trump on Thursday. “There’s a chance that we could end up having a major, major, conflict with North Korea, absolutely.” QUESTION: Is that your biggest global worry at this point? “Yes, I would say that’s true, yes. ... North Korea would be certainly that.” ON GETTING SOUTH KOREA TO PAY FOR THAAD MISSILE DEFENSE SYSTEM “On the THAAD system, it’s about a billion dollars. I said,  ‘Why are we paying? Why are we paying a billion dollars? We’re protecting. Why are we paying a billion dollars?’ So I informed South Korea it would be appropriate if they paid. Nobody’s going to do that. Why are we paying a billion dollars? It’s a billion dollar system. It’s phenomenal. It’s the most incredible equipment you’ve ever seen - shoots missiles right out of the sky. And it protects them and I want to protect them. We’re going to protect them. But they should pay for that, and they understand that.” ON WHETHER THE WAR AGAINST ISLAMIST EXTREMISM WILL EVER END “Yours is the toughest question. Because at what point does it end? But we can’t let them come over here. I have to say, there is an end. And it has to be humiliation. There is an end. Otherwise it’s really tough. But there is an end. We are really eradicating some very bad people. When you take a look at what’s going on with the cutting off of the heads. We haven’t seen that since Medieval times. Right?”  ON CHINESE PRESIDENT XI’S EFFORTS TO REIN IN NORTH KOREA “He certainly doesn’t want to see turmoil and death. He doesn’t want to see it. He’s a good man. He’s a very good man and I got to know him very well ... We’ll see how it all works out. I know he would like to be able to do something. Perhaps it’s possible that he can’t. But I think he’d like to be able to do something.” “He’s 27 years old, his father dies, took over a regime, so say what you want but that’s not easy, especially at that age. You know you have plenty of generals in there and plenty of other people that would like to do what he’s doing. So I’ve said this before and I’ve, I’m just telling you, and I’m not giving him credit or not giving him credit. I’m just saying that’s a very hard thing to do.” “As to whether or not he’s rational, I have no opinion on it. I hope he’s rational.” “I get a call from Mexico yesterday, ‘We hear you’re going to terminate NAFTA.’ I said that’s right. They said, ‘Is there any way we can do something without you – without termination?’ I said, ‘What do you want to do?’ He said, ‘Well, we’d like to negotiate.’ I said we’ll think about it. Then I get a call, and they call me, I get a call from Justin Trudeau and he said, ‘We’d like to see if we can work something out,’ and I said that’s fine. Because I’ve always - I’ve been very consistent. It’s much less disruptive if we can make a fair trade deal than if we terminate.” “It’s unacceptable. It’s a horrible deal made by Hillary. It’s a horrible deal. And we’re going to renegotiate that deal, or terminate it.”  QUESTION: When will you announce it? “Very soon. I’m announcing it now.” “By the way, with South Korea, just so you know. They’re ready for it. Mike Pence was representing me, he was just over there, he’s told them. And we have the five-year anniversary coming up very shortly. And we thought that would be a good time to start ... It’s a great deal for South Korea. It’s a terrible deal for us.” “Frankly, Saudi Arabia has not treated us fairly, because we are losing a tremendous amount of money in defending Saudi Arabia.” “Well, my problem is that I’ve established a very good personal relationship with (Chinese) President Xi. And I really feel that he is doing everything in his power to help us with a big situation, so I wouldn’t want to be causing difficulty right now for him ... So I would certainly want to speak to him first.” “If there’s closure, there’s closure. We’ll see what happens. If there’s a shutdown. It’s the Democrats’ fault. Not our fault. It’s the Democrats’ fault. Maybe they’d like to see a shutdown.”  ON TRUMP’S PLAN TO GENERATE REVENUE TO OFFSET TAX CUTS “We will do trade deals that are going to make up for a tremendous amount of the deficit. We are going to be doing trade deals that are going to be much better trade deals ...  “There will be other ways that we are going to raise revenues. But we are going to run the country properly, and we are going to be reimbursed when we do things. Why should we be paying for somebody else’s military?” ON MIDDLE EAST PEACE AND POSSIBLE TRIP TO ISRAEL, SAUDI ARABIA “It’s a possibility, we’re talking to both. It’s a possibility, but I want to see peace with Israel and the Palestinians. There is no reason there’s not peace between Israel and the Palestinians - none whatsoever. So we’re looking at that and we’re also looking at the potential of going to Saudi Arabia.” ",0
22321,22321,"House Speaker Paul Ryan finally admitted the reason he is refusing to hold town hall meetings: He s too afraid of protesters. Speaking at a Boy Scouts event in Wisconsin, Ryan told the crowd that he just doesn t have the guts to face his own constituents when he knows they are p*ssed that he s trying to steal their health care. Aside from the obvious security concerns, what we have found is there are people who are trying to come in from out of the district to disrupt town hall meetings and not have a civil discussion, so what I have been doing is looking for new and creative ways to interact with my constituents in a civil way,  Ryan said. That s why I have done a number of telephone town hall meetings, which I find very effective as people don t have to travel. I do office hours. I just did them this morning in Janesville. In addition, I am doing a lot of business ones,  the Speaker said.Ryan said that he has found other ways to meet with his constituents, like the town-hall style meeting he held on Thursday that was closed to the public with only 25 employees of the business he was touring in attendance. I find when you guys are there, people kind of clam up. They get a little nervous, but when you do business town halls without media it is very interactive, so I am finding a lot of different ways to have a good civil dialogue with constituents,  he continued.Ryan then said that if people want to talk to him, that s what his office hours are for, which he explained help keep him safe from all those big, mean protesters. Additionally, if you want to come do office hours, they schedule office hours because I don t want to have a situation where we just have a screaming fest, a shouting fest where people are being bussed in from out of the district to get on TV because they are yelling at somebody. That does nobody any good, and what I want to do is have a civil, good conversation with constituents, and that s why I do all these different things, whether it s planned tours, telephone town halls, office hours and the rest,  he said.So, that s Ryan s master plan to deal with the ever increasing public anger over his plan to take health care from millions. He s just going to hide like the spineless coward that he is. Sounds legit.Featured image via Win McNamee/Getty Images",1
27661,27661,"Donald Trump just can t accept that he has completely demolished any and all chances of winning over the Hispanic vote.Refusing to be discouraged by the fact that he s offended the Hispanic community since day one of his disgraceful presidential campaign and continuously pummeled the minority group throughout the election cycle, the presumptive Republican nominee is trying to reach out to the very community that he said was made up of  rapists  and  drug dealers. Trump gave his  first direct message to Hispanic conservatives  over the phone, while sitting alone on a private plane. It s truly bizarre and uncomfortable to watch, but then again so is everything else The Donald does. During his 2-minute message, which was aired at the National Hispanic Christian Leadership Conference in California, Trump promised to do away with minority unemployment and stop illegal drug cartels. While Trump rattled off a few more talking points, the business mogul s main message to Hispanics could be summed up in these few sentences: National. Hispanic. Christian. Three great words. We re going to take care of you. We re going to work with you. You re going to be very happy. You re gonna like President Trump. You can watch Trump s awkward message below:The idea of Trump sincerely trying to portray himself as a great candidate for Hispanic voter is, quite frankly, hilarious. As much as Trump loves his polls, he must be absolutely oblivious or in severe denial   it s been widely reported that Trump is still struggling big time to get support from the Hispanic community, and that s probably not going to change anytime soon.Many Hispanic voters have pledged their support to Trump s rival, Democratic front runner Hillary Clinton, with only 23% of them stating that they would vote for Trump in November. In fact, many Hispanics registered for the first time this year for the sole purpose of voting AGAINST Trump. No matter how hard Trump tries to undo the damage he did in the beginning of his campaign, his attempts will likely fall short. The Hispanic community will not forget his offensive, hateful rhetoric, and neither should the rest of us.Featured image via Scott Olson / Getty Images",1
82666,82666,"Would-be looter in Hurricane Michael-ravaged Florida shot, killed after trying to steal law enforcement vehicle: report

https://www.foxnews.com/us/would-be-looter-in-hurricane-michael-ravaged-florida-shot-killed-after-trying-to-steal-law-enforcement-vehicle-report …
... All looters need to be handled the same way!",0
76637,76637,"His argument is correct. Hurricane Rita killed over 100 people on the road, drowned them in their own cars. pic.twitter.com/kulwIZW2EI",0
32898,32898,"At around the 4:00 mark in the video, Maxine points out that Obama will become more aggressive in his second term. Waters suggests Obama s ability to push immigration and some of the other radical issues on his agenda during first term were thwarted by the opposition, or more specifically by the  Right  and by the  Tea Party . Martin then tells Waters that Obama better get busy and get done what needs to be done during his second term. Roland tells Waters, The inauguration represented the beginning of the second term, but it also represented the countdown of the end of his presidency. And the reality is, uh, like anything else, you better get what you can while he s there, because look come 2016, that s it.  Waters responds,  Well you know, I don t know. And I think some people are missing something here. The President has put in place an organization that contains a kind of database that no one has ever seen before in life. That s going to be very, very powerful.   Martin asks,  In terms of the  Organizing for America  that he s now shifting to become a 501C4 ?  Waters responds,  That s right. That s right. And that database will have information about everything on every individual in ways that it s never been done before. Here is the shortened clip:Here is the full interview. The bombshell revelation by Congresswoman Maxine Waters (D-CA) starts at around the 4:00 mark:",1
