type,index,true,pred,confidence,text
FP,8501,0,1,2.922190974544465,".@USATODAY Fact Check: ""RNC claims Biden is ‘anti-law enforcement.’ He’s not."" https://t.co/fKin763MT0 

It's actually Trump whose attempted to cut COPS funding for years: https://t.co/jAArXB51la https://t.co/N4LkcIfWyr"
FP,11400,0,1,2.731959377000652,Fact Check: Hillary Clinton's deleted emails https://t.co/M1x8jwOTBu https://t.co/A3GAzX1nvf
FP,8396,0,1,2.627863469634654,"WEAR A Mask: 6-Year-Old British Girl Chokes On COVID-19 Face Mask That Was Inside Her McDonald's Chicken Nuggets [Video]

(Image via NurPhoto/Getty)

https://t.co/CbgTkyVuPk https://t.co/wialhkytw6"
FP,15096,0,1,2.2032999714037076,Half of Boys in Youth Jails Black or Ethnic Minority https://t.co/6PWbe14BSn https://t.co/4ydqS4sBOs
FP,14552,0,1,2.1543395564632744,The FBI Is Investigating The Trump Supporters Who Were Seemingly Driving Out A Biden-Harris Campaign Bus https://t.co/oEcmDS4xqN https://t.co/E7vIB6BkmP
FP,7194,0,1,1.9050941492439615,".@TedCruz: Perhaps Trump’s Tax Returns Show ‘Dealings w/ Mob’ More Extensive than Reported
https://t.co/KUkweeO8k7 https://t.co/INdbdiveC8"
FP,4655,0,1,1.8651014869076956,Watch as a massive alligator casually strolls across a Florida golf course https://t.co/rL3zO1zMjc https://t.co/SOmiTMfRYR
FP,11320,0,1,1.8120397252347191,"The US city of Boston officially declared racism a public health crisis | @BISouthAfrica 

https://t.co/KG51r9PIXU https://t.co/lQSnO2PRP5"
FP,12875,0,1,1.7629350441997624,"Record 4m people have diabetes in the UK, charity reveals https://t.co/jHf7zhTWNs"
FP,11853,0,1,1.7082139411298995,Dem FLATLINERS who destroy creativity-balance-longevity &amp; TRUTH stand with Lucifer in all his flames of destruction https://t.co/WcFpZNsN9u
FP,1179,0,1,1.7008406736828907,Maskless Nancy Pelosi Got Her Hair Done In A Shuttered San Francisco Hair Salon https://t.co/7ykqkRwa4k
FP,9203,0,1,1.5949612294323423,Joe Biden Lays Into Trump And Brings The Blue Wave To Iowa https://t.co/46swL9u9l4 via @politicususa
