type,index,true,pred,confidence,text
FP,8501,0,1,0.9998500513955005,".@USATODAY Fact Check: ""RNC claims Biden is ‘anti-law enforcement.’ He’s not."" https://t.co/fKin763MT0 

It's actually Trump whose attempted to cut COPS funding for years: https://t.co/jAArXB51la https://t.co/N4LkcIfWyr"
FP,11400,0,1,0.9997321048523665,Fact Check: Hillary Clinton's deleted emails https://t.co/M1x8jwOTBu https://t.co/A3GAzX1nvf
FP,8396,0,1,0.9995943779168055,"WEAR A Mask: 6-Year-Old British Girl Chokes On COVID-19 Face Mask That Was Inside Her McDonald's Chicken Nuggets [Video]

(Image via NurPhoto/Getty)

https://t.co/CbgTkyVuPk https://t.co/wialhkytw6"
FP,15096,0,1,0.9994283941656342,Half of Boys in Youth Jails Black or Ethnic Minority https://t.co/6PWbe14BSn https://t.co/4ydqS4sBOs
FP,4655,0,1,0.9983728102314303,Watch as a massive alligator casually strolls across a Florida golf course https://t.co/rL3zO1zMjc https://t.co/SOmiTMfRYR
FP,12277,0,1,0.9982988010924363,Youth electrocuted in Khulna  | http://t.co/3EnyNdXpPm https://t.co/GQpi7jMKan via @sharethis
FP,14552,0,1,0.9980428377239678,The FBI Is Investigating The Trump Supporters Who Were Seemingly Driving Out A Biden-Harris Campaign Bus https://t.co/oEcmDS4xqN https://t.co/E7vIB6BkmP
FP,7194,0,1,0.9979596242639921,".@TedCruz: Perhaps Trump’s Tax Returns Show ‘Dealings w/ Mob’ More Extensive than Reported
https://t.co/KUkweeO8k7 https://t.co/INdbdiveC8"
FP,11320,0,1,0.9976048126686746,"The US city of Boston officially declared racism a public health crisis | @BISouthAfrica 

https://t.co/KG51r9PIXU https://t.co/lQSnO2PRP5"
FP,3064,0,1,0.9946997557375319,A [small] flood with bigåÊconsequences https://t.co/CVPdVHxd1R http://t.co/FDMXP4FcMo
FP,12875,0,1,0.9930138195331307,"Record 4m people have diabetes in the UK, charity reveals https://t.co/jHf7zhTWNs"
FP,4410,0,1,0.992530171268554,"More than 3x as many black women die from childbirth.

More and more women are now dying in childbirth, but only in America https://t.co/e59aRTz8X9 https://t.co/DavPKnLywL"
FP,10912,0,1,0.9922554638979482,Me watching Law &amp; Order (IB: @sauldale305) (Vine by @NaturalExample) https://t.co/tl29LnU44O
FP,9900,0,1,0.9912052773632997,Leader of #Zionism STOP BURNING #Babies  https://t.co/6xYsDN2Xz0
